id,FRAUDE,VALOR,HORA_AUX,Dist_max_NAL,Canal1,FECHA,COD_PAIS,CANAL,DIASEM,DIAMES,FECHA_VIN,OFICINA_VIN,SEXO,SEGMENTO,EDAD,INGRESOS,EGRESOS,NROPAISES,Dist_Sum_INTER,Dist_Mean_INTER,Dist_Max_INTER,NROCIUDADES,Dist_Mean_NAL,Dist_HOY,Dist_sum_NAL,QUINCENA
9000000001,1,0.0,13,659.13,ATM_INT,20150501,US,ATM_INT,Viernes,1,20120306.0,392.0,M,Personal Plus,29.0,1200000.0,1200000.0,1,0.0,0.0,0.0,6,474.94,4552.41,5224.36,Quincena_1
9000000002,1,0.0,17,594.77,ATM_INT,20150515,US,ATM_INT,Viernes,15,20050415.0,716.0,M,Personal Plus,29.0,5643700.0,500000.0,1,0.0,0.0,0.0,5,289.99,4552.41,2029.9,Quincena_1
9000000003,1,0.0,13,659.13,ATM_INT,20150501,US,ATM_INT,Viernes,1,20120306.0,392.0,M,Personal Plus,29.0,1200000.0,1200000.0,1,0.0,0.0,0.0,6,474.94,4552.41,5224.36,Quincena_1
9000000004,1,0.0,13,659.13,ATM_INT,20150501,US,ATM_INT,Viernes,1,20120306.0,392.0,M,Personal Plus,29.0,1200000.0,1200000.0,1,0.0,0.0,0.0,6,474.94,4552.41,5224.36,Quincena_1
9000000005,1,0.0,0,1.0,ATM_INT,20150510,CR,ATM_INT,Domingo,10,20141009.0,788.0,M,Personal,25.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,1482.35,1.0,Quincena_1
9000000006,1,0.0,13,1.0,ATM_INT,20150523,US,ATM_INT,Sabado,23,20150220.0,547.0,M,Emprendedor,20.0,4000000.0,2500000.0,1,0.0,0.0,0.0,1,0.0,4552.41,1.0,Quincena_2
9000000007,1,0.0,14,659.13,ATM_INT,20150526,CR,ATM_INT,Martes,26,20080409.0,210.0,M,Personal Plus,29.0,2100000.0,310000.0,2,8616.02,4308.01,4308.01,5,342.47,1482.35,2739.72,Quincena_2
9000000008,1,0.0,18,733.11,ATM_INT,20150502,US,ATM_INT,Sabado,2,20040520.0,454.0,F,Personal Plus,28.0,2000000.0,200000.0,1,0.0,0.0,0.0,3,400.65,4552.41,2403.9,Quincena_1
9000000009,0,0.0,16,1.0,ATM_INT,20150501,US,ATM_INT,Viernes,1,20150110.0,297.0,M,Personal,21.0,500000.0,300000.0,2,4552.41,4552.41,4552.41,1,0.0,4552.41,1.0,Quincena_1
9000000010,1,0.0,15,461.26,ATM_INT,20150502,PA,ATM_INT,Sabado,2,20090330.0,46.0,M,Personal Plus,28.0,4000000.0,1500000.0,1,0.0,0.0,0.0,9,190.22,1043.91,2282.59,Quincena_1
9000000011,1,0.0,18,238.34,ATM_INT,20150513,CR,ATM_INT,Miercoles,13,20100624.0,17.0,F,Personal Plus,26.0,1500000.0,1000000.0,3,16813.9,4203.47,4552.41,2,238.34,1482.35,476.68,Quincena_1
