departamento,municipio,zona_urbana_rural,tipo_de_vivienda,tenencia_de_la_vivienda,area_total_m2,habitaciones,banos,pisos,antiguedad_de_la_vivienda,calidad_de_construccion,parqueaderos,estrato,tamano_del_hogar,numero_de_ninos,numero_de_adultos_mayores,genero_del_jefe_del_hogar,edad_del_jefe_del_hogar,nivel_educativo_del_jefe_del_hogar,situacion_laboral_del_jefe_del_hogar,distancia_al_centro_de_la_ciudad_km,indice_de_seguridad_del_barrio,acceso_a_transporte_publico,acceso_a_internet,acceso_a_agua_potable,acceso_a_gas,indice_de_pobreza,acceso_a_credito,ahorros_del_hogar,ingreso_del_hogar,valor_de_mercado_de_la_vivienda
Risaralda,Cali,Urban,Apartment,Rented,278.81851179142814,3,2,1,8,Medium,0,5,1,2,0,Female,58,Primary,Informal,4.650398923491043,75.04040105711623,Yes,Yes,Yes,No,0.12621712139642435,Yes,2594790.7388679916,3380097.2416012147,276.3775251114047
Atlántico,Manizales,Urban,Apartment,Owned,84.33295305870581,2,1,1,50,Low,2,2,1,1,0,Male,51,Primary,Informal,25.125256867396327,65.59737144989643,Yes,Yes,Yes,Yes,0.1377171744857196,Yes,3700520.970231533,1156503.9177371045,60.736797626324055
Santander,Pereira,Urban,House,Rented,102.91366213669221,5,2,2,59,Low,2,1,5,0,0,Male,48,Primary,Informal,21.855366648736965,83.19383920244107,Yes,Yes,Yes,Yes,0.37610435618593896,No,4695726.564839865,767667.0804947568,91.55118348633478
Risaralda,Manizales,Urban,House,Owned,89.82962672711948,5,1,2,44,High,1,1,6,1,0,Male,40,Postgraduate,Formal,5.968511686554956,53.145851573410404,Yes,Yes,Yes,Yes,0.46284296156496557,Yes,2345104.8434785544,4792602.619736603,71.35918373704035
Valle del Cauca,Manizales,Urban,Farm,Rented,42.67873541178789,2,3,1,59,Low,2,1,2,3,1,Female,38,University,Formal,10.599647602895777,41.474856380557206,Yes,Yes,Yes,Yes,0.2584793684336593,No,674152.857615165,3682279.7950443844,68.30388697412153
Caldas,Cali,Rural,Farm,Rented,152.82711666645415,3,1,3,57,Medium,2,2,6,0,2,Male,53,University,Informal,19.610461985155972,74.49945331910413,Yes,Yes,Yes,Yes,0.3611240182706213,Yes,1626569.8985956274,4889885.274077198,84.7156367827125
Santander,Cartagena,Urban,Apartment,Rented,229.48069318832435,2,1,3,53,Low,1,3,3,0,0,Male,54,Primary,Formal,26.489972447257323,64.93733850416774,No,Yes,Yes,Yes,0.44413565044241343,Yes,1824982.409183502,4953239.378105504,183.9105675993349
Santander,Barranquilla,Urban,House,Family,106.14153776438597,1,3,1,48,Low,0,3,3,3,0,Female,37,Primary,Formal,2.5643393001076387,94.13142756526648,No,Yes,Yes,Yes,0.20616687411078785,No,1115594.5289050082,4954486.9345664,157.43623861444246
Risaralda,Cali,Urban,Farm,Family,108.48194432923262,5,3,2,12,High,0,3,3,2,2,Female,65,Postgraduate,Informal,13.765685952018964,96.59666468032853,No,Yes,Yes,No,0.14838394645685082,No,1073864.6380176845,7504212.208887579,143.06820215562797
Cundinamarca,Bucaramanga,Urban,Farm,Family,159.86247251125414,4,2,1,20,Low,0,1,4,1,0,Female,31,Secondary,Informal,11.130486222488326,61.3336671591851,Yes,Yes,Yes,No,0.1512783717222488,Yes,737621.2845639654,459880.64835313056,130.39855579279475
Valle del Cauca,Cali,Rural,House,Owned,202.60485243793158,2,3,2,20,High,2,5,4,4,1,Female,34,Primary,Formal,23.303036083442233,66.44388972466066,Yes,No,Yes,Yes,0.28563352544404996,No,269011.83987908653,7378820.581199259,256.24333761897907
Risaralda,Bucaramanga,Urban,Apartment,Rented,62.07623439291646,5,2,1,26,Low,0,1,3,3,2,Female,61,Secondary,Informal,10.614859103948788,38.4665639111329,Yes,Yes,Yes,Yes,0.37783531905629597,Yes,2267920.034302273,738767.3676040233,39.24842305345335
Valle del Cauca,Manizales,Rural,Farm,Owned,150.00383808614419,5,1,1,68,Medium,0,4,3,0,1,Female,29,Primary,Informal,5.048791574502969,58.24302779187474,No,Yes,Yes,Yes,0.13488467135650134,No,6037592.932384886,3865453.5085333465,121.58370950899732
Valle del Cauca,Pereira,Urban,Farm,Owned,222.32664082121505,2,3,2,54,Medium,1,4,4,0,1,Female,40,Postgraduate,Informal,2.738862941934934,69.00597470465681,Yes,Yes,Yes,Yes,0.7093477888596663,No,973197.8898524456,14987959.038789341,205.25058501629357
